Station,Address,Matched in googlemaps API,latitude_api,longitude_api
1,935 Folsom at 5th Street,"935 Folsom St, San Francisco, CA 94107, USA",37.7794,-122.4041
2,1340 Powell Street at Broadway,"1340 Powell St, San Francisco, CA 94133, USA",37.7971,-122.41
3,1067 Post Street at Polk Street,"1067 Post St, San Francisco, CA 94109, USA",37.7866,-122.4193
4,449 Mission Rock at 3rd Street ,"449 Mission Rock St, San Francisco, CA 94158, USA",37.7728,-122.3892
5,1301 Turk Street at Webster Street,"1301 Turk St, San Francisco, CA 94115, USA",37.7805,-122.4308
6,135 Sanchez Street at Henry Street,"135 Sanchez St, San Francisco, CA 94114, USA",37.7671,-122.4308
7,2300 Folsom Street at 19th Street,"2300 Folsom St, San Francisco, CA 94110, USA",37.7603,-122.4152
8,36 Bluxome Street at 4th Street,"53 Bluxome St, San Francisco, CA 94107, USA",37.7772,-122.3963
9,2245 Jerrold Avenue at Upton Street,"2245 Jerrold Ave, San Francisco, CA 94124, USA",37.7452,-122.4013
10,655 Presidio Avenue at Bush Street,"655 Presidio Ave, San Francisco, CA 94115, USA",37.7858,-122.4467
11,3880 26th Street at Church Street,"26th St & Church St, San Francisco, CA 94114, USA",37.7485,-122.4272
12,1145 Stanyan Street at Grattan Street,"1145 Stanyan St, San Francisco, CA 94117, USA",37.7635,-122.4526
13,530 Sansome Street at Washington Street,"530 Sansome St, San Francisco, CA 94111, USA",37.7956,-122.4014
14,551 26th Avenue at Geary Boulevard,"551 26th Ave, San Francisco, CA 94121, USA",37.779,-122.4859
15,1000 Ocean Avenue at Phelan Avenue,"1000 Ocean Ave, San Francisco, CA 94112, USA",37.7235,-122.4529
16,2251 Greenwich Street at Fillmore Street,"2251 Greenwich St, San Francisco, CA 94123, USA",37.7986,-122.4367
17,1295 Shafter Avenue at Ingalls Street,"1295 Shafter Ave, San Francisco, CA 94124, USA",37.7275,-122.385
18,1935 32nd Avenue at Ortega Street,"1935 32nd Ave, San Francisco, CA 94116, USA",37.751,-122.4904
19,390 Buckingham Way at Winston Street,"390 Buckingham Way, San Francisco, CA 94132, USA",37.7278,-122.479
20,285 Olympia Way at Clarendon Avenue,"285 Olympia Way, San Francisco, CA 94131, USA",37.7512,-122.4562
21,1443 Grove Street at Broderick Street,"1443 Grove St, San Francisco, CA 94117, USA",37.7755,-122.4403
22,1290 16th Avenue at Irving Street,"1290 16th Ave, San Francisco, CA 94122, USA",37.764,-122.4736
23,1348 45th Avenue at Judah Street,"1348 45th Ave, San Francisco, CA 94122, USA",37.7614,-122.5047
24,100 Hoffman Avenue at Alvarado Street,"100 Hoffman Ave, San Francisco, CA 94114, USA",37.7531,-122.441
25,3305 3rd Street at Cargo Way,"3305 3rd St, San Francisco, CA 94124, USA",37.747,-122.3872
26,80 Digby Street at Addison Street,"80 Digby St, San Francisco, CA 94131, USA",37.7403,-122.4334
28,1814 Stockton Street at Greenwich Street,"1814 Stockton St, San Francisco, CA 94133, USA",37.8026,-122.4093
29,299 Vermont Street at 16th Street,"299 Vermont St, San Francisco, CA 94103, USA",37.7662,-122.4044
31,441 12th Avenue at Geary Boulevard,"441 12th Ave, San Francisco, CA 94118, USA",37.7799,-122.4709
32,194 Park Street at Holly Park Circle,"194 Park St, San Francisco, CA 94110, USA",37.7364,-122.4212
34,499 41st Avenue at Geary Boulevard,"499 41st Ave, San Francisco, CA 94121, USA",37.7794,-122.5027
35,"Pier 22½, The Embarcadero at Harrison Street","The Embarcadero, San Francisco, CA 94105, USA",37.798,-122.395
36,109 Oak Street at Franklin Street,"109 Oak St, San Francisco, CA 94102, USA",37.7749,-122.4212
37,798 Wisconsin Street at 22nd Street,"798 Wisconsin St, San Francisco, CA 94107, USA",37.7574,-122.3993
38,2150 California Street at Laguna Street,"2150 California St, San Francisco, CA 94115, USA",37.7897,-122.43
39,1091 Portola Drive at Miraloma Drive,"1091 Portola Dr, San Francisco, CA 94127, USA",37.74,-122.4587
40,2155 18th Avenue at Rivera Street,"2155 18th Ave, San Francisco, CA 94116, USA",37.7476,-122.4752
41,1325 Leavenworth Street at Jackson Street,"1325 Leavenworth St, San Francisco, CA 94109, USA",37.7934,-122.4165
42,2430 San Bruno Avenue at Silver Avenue,"2430 San Bruno Ave, San Francisco, CA 94134, USA",37.7316,-122.4056
43,720 Moscow Street at France Avenue,"720 Moscow St, San Francisco, CA 94112, USA",37.7163,-122.4317
44,1298 Girard Street at Wilde Avenue,"1298 Girard St, San Francisco, CA 94134, USA",37.7166,-122.4005
48,"800 Avenue I at 10th Street, Treasure Island","800 Ave I #10th, San Francisco, CA 94130, USA",37.8268,-122.3689
49,1415 Evans Avenue at Mendell Street,"1415 Evans Ave, San Francisco, CA 94124, USA",37.7408,-122.3853
51,218 Lincoln Blvd at Keyes Avenue,"218 Lincoln Blvd, San Francisco, CA 94129, USA",37.8016,-122.4554
33 ,8 Capitol Avenue at Sagamore Street,"8 Capitol Ave, San Francisco, CA 94112, USA",37.7109,-122.4586
