Name,Address,latitude_api,longitude_api
CMAC- PAC,"2333 Buchanan St, San Francisco",37.7909,-122.4312
CPMC DAVIES,Castro Street & Duboce Ave,37.7684,-122.4345
CPMC ST LUKES,"3555 Cesar Chavez, San Francisco",37.7477,-122.4207
KAISER Permanente Emergency Room,"2425 Geary Blvd, San Francisco",37.7825,-122.4431
ST FRANCIS,900 Hyde St SF,37.7894,-122.4167
ST MARYS medical center,450 Stanyan St,37.7741,-122.4539
UCSF Parnassus,505 Parnassus Ave,37.7631,-122.4578
VAMC - San Francisco VA Medical Center,"4150 Clement St, San Francisco",37.782,-122.5051
ZFGH Hospital and Trauma Center,"1001 Potrero Ave, San Francisco",37.7557,-122.4047
